x,fails,solutions,tot time,backtrack time,revise time
3,0,1,0.000037,0.000000,0.000000
4,0,2,0.000053,0.000000,0.000002
5,2,4,0.000145,0.000010,0.000084
6,8,4,0.000955,0.000067,0.000782
7,32,8,0.002977,0.000269,0.002378
8,108,24,0.016217,0.001408,0.013696
9,424,32,0.072750,0.005618,0.063446
10,1784,40,0.386830,0.032476,0.335083
11,7636,120,2.016095,0.162099,1.766620
12,35186,296,13.320033,1.009219,11.843753
13,364312,648,207.120731,15.770302,185.285046
