x,fails,solutions,tot time,backtrack time,revise time
3,0,6,0.000075,0.000002,0.000007
4,0,6,0.000083,0.000001,0.000008
5,2,10,0.000385,0.000020,0.000208
6,18,4,0.000941,0.000078,0.000677
7,36,40,0.003358,0.000296,0.002698
8,186,92,0.014138,0.001178,0.012307
9,748,352,0.067552,0.005067,0.059680
10,5006,724,0.479019,0.032502,0.432093
11,28544,2680,3.325999,0.227009,3.018415
12,157524,14200,24.638682,1.584537,22.566021
13,878792,73712,144.941530,9.587610,132.757930
