x,fails,solutions,tot time,backtrack time,revise backtrack
1,2,4,0.000150,0.000006,0.000088
2,16,4,0.000528,0.000033,0.000390
3,52,8,0.003036,0.000213,0.002548
4,154,24,0.017273,0.000941,0.014705
5,664,32,0.074660,0.003474,0.067123
6,2636,40,0.439718,0.023591,0.394881
7,11450,120,1.923740,0.086649,1.749940
8,100610,296,19.853076,0.834746,18.150496
9,502014,648,106.958177,4.427670,98.103051
