x,fails,solutions,tot time,backtrack time,revise time
3,0,1,0.000046,0.000000,0.000000
4,0,2,0.000052,0.000001,0.000004
5,2,4,0.000317,0.000005,0.000221
6,8,4,0.002056,0.000035,0.001836
7,32,8,0.006669,0.000134,0.006284
8,108,24,0.030930,0.000488,0.029488
9,424,32,0.133464,0.001348,0.129009
10,1784,40,0.587881,0.005706,0.569774
11,7636,120,3.058716,0.037041,2.952780
12,35186,296,17.191858,0.174673,16.684066
13,364312,648,179.031651,1.657202,174.095635
