x,fails,solutions,tot time,backtrack time,revise backtrack
1,0,6,0.000114,0.000002,0.000012
2,0,6,0.000067,0.000001,0.000011
3,2,10,0.000273,0.000008,0.000196
4,18,4,0.000724,0.000020,0.000594
5,36,40,0.002280,0.000066,0.002026
6,186,92,0.008380,0.000242,0.007633
7,748,352,0.037006,0.001028,0.033946
8,5006,724,0.208279,0.004774,0.194124
9,28544,2680,1.165349,0.024946,1.090222
10,157524,14200,7.206955,0.145578,6.776671
