x,fails,solutions,tot time,backtrack time,revise time
3,0,1,0.000045,0.000000,0.000000
4,0,2,0.000044,0.000000,0.000001
5,2,4,0.000150,0.000015,0.000037
6,8,4,0.000674,0.000081,0.000213
7,32,8,0.001410,0.000322,0.000836
8,108,24,0.007198,0.002032,0.004137
9,424,32,0.029772,0.008374,0.017563
10,1784,40,0.148946,0.032362,0.099233
11,7636,120,0.724682,0.171196,0.475751
12,35186,296,3.995968,0.922412,2.693242
13,364312,648,71.180035,16.908378,48.499497
